"Round","Random","Tom","Dani","Hellen","Isla","Mike","Jennie","Ashleigh","Phil","Fiona","Merry","Dan","Linda","Ellie","Richard","Henny","Anthony","Nicole","Pria","Meg","Fran","Rikki"
"Wild Card",0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1
"Round 1",16,24,24,24,21,8,21,21,24,16,18,23,17,23,22,24,16,24,11,20,23,15
"Round 2",10,22,22,22,18,6,18,16,20,8,12,10,12,18,16,20,4,20,10,14,12,6
"Round 3",6,9,12,15,12,3,9,9,12,3,12,6,3,12,12,12,0,15,6,3,6,0
"Quarter Final",5,10,10,5,5,0,15,5,10,5,15,5,0,5,10,10,0,20,5,5,5,0
"Semi Final",8,8,0,8,0,0,16,0,8,8,8,0,0,0,8,8,0,8,8,0,0,0
"Final",0,13,0,0,0,0,0,0,0,13,0,0,0,0,13,13,0,13,0,0,0,0
