"Round","Random","Tom","Dani","Hellen","Isla","Mike","Jennie","Ashleigh","Phil","Fiona","Merry","Dan","Linda","Ellie","Richard","Henny","Anthony","Nicole","Pria","Meg","Fran","Rikki"
"Wild Card",0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1
"Round 1",16,24,24,25,22,9,22,21,25,17,18,24,18,24,23,25,17,24,11,20,24,16
"Round 2",26,46,46,47,40,15,40,37,45,25,30,34,30,42,39,45,21,44,21,34,36,22
"Round 3",32,55,58,62,52,18,49,46,57,28,42,40,33,54,51,57,21,59,27,37,42,22
"Quarter Final",37,65,68,67,57,18,64,51,67,33,57,45,33,59,61,67,21,79,32,42,47,22
"Semi Final",45,73,68,75,57,18,80,51,75,41,65,45,33,59,69,75,21,87,40,42,47,22
"Final",45,86,68,75,57,18,80,51,75,54,65,45,33,59,82,88,21,100,40,42,47,22
